"Term","English Equivalent","Phonetic Pronunciation","Part of Speech","Franchise","Medium","Related Words (Cross-Franchise)","Real-World Euphemisms","Category","Severity","Notable Speaker","First Appearance (Episode/Chapter/Issue)","Short Description","Etymology (Narrative)","Semantic Drift Timeline","Usage History (Narrative)","Taboo Trajectory (Narrative)","Regional Notes (In-Universe)","Example Quote"
"Frak","Fuck","FRAK","Noun/Verb/Adjective/Interjection","Battlestar Galactica","TV","Frell (Farscape); Smeg (Red Dwarf); Kriff (Star Wars); Feth (Warhammer 40K)","Frick; Freak; Effing; F-bomb","Obscenity; Profanity","Extreme","Starbuck (Katee Sackhoff)","Original: S1E1 'Saga of a Star World' (1978); Reboot: Miniseries (2003)","The most iconic fictional swear word in sci-fi. A universal substitute for the F-word, used in every possible conjugation and context.","Created by Glen Larson for the 1978 series as 'frack' to bypass ABC network censors. Ronald D. Moore respelled it 'frak' for the 2003 reboot — four letters, matching the word it replaces.","Stable meaning — always a direct F-word substitute. Spelling changed from 'frack' (1978) to 'frak' (2003), and frequency of use increased dramatically, but the word's function never shifted.","Original BSG (1978). Reboot BSG (2003-2009). Referenced in Big Bang Theory, Veronica Mars, 30 Rock, Chuck, Eureka, The Flash, and others as homage.","Began as a network-TV workaround. The 2003 reboot used it so pervasively that scholar Wanda Raiford called it essential to the show's naturalistic tone. Crossed into real-world geek vocabulary as a socially acceptable substitute expletive.","Universal across the Twelve Colonies. No regional variation noted within the BSG universe.","What the frak is going on here?"
"Toaster","N-word / Racial slur","TOH-ster","Noun (Slur)","Battlestar Galactica","TV","Mutie (X-Men); Skinjob (Blade Runner); Prawn (District 9); Mudblood (Harry Potter)","Racial epithet; Dehumanizing slur","Slur","Extreme","Various Colonial officers","Miniseries (2003)","A racial slur used by humans to dehumanize Cylons, reducing sentient beings to household appliances.","Derived from the fact that Cylons are machines. Reduces sentient beings to kitchen appliances. The compound 'toaster lover' parallels real-world slurs for those in interracial relationships.","Grew more loaded as humanoid Cylons were revealed — calling someone who looks human a 'toaster' became increasingly cruel and absurd simultaneously.","BSG reboot (2003-2009). Not present in the 1978 original, which predated this particular human-Cylon dynamic.","Scholar Wanda Raiford drew direct parallels between 'toaster' and real-world dehumanizing slurs, noting the show used it to explore how language enables prejudice. By series end, characters who still used it were implicitly criticized.","Used across all Twelve Colonies. The compound 'frakking toasters' combines both key BSG expletives.","Frakking toasters. Can't trust a single one of them."
"Felgercarb","Bullshit / Crap","FEL-ger-karb","Noun","Battlestar Galactica","TV","Dren (Farscape); Boll-yotz (Farscape); Druk (Star Wars)","Bull; Rubbish; Nonsense; Hogwash","Scatological; Profanity","Moderate","Various Colonial characters","S1E1 'Saga of a Star World' (1978)","An expletive referring to putrid, crusty grime that accumulates on machinery. Used as an equivalent to bullshit or crap.","Reportedly derived from a 'felger,' a bovine-like animal with six legs written into early BSG scripts. 'Felgercarb' is presumably its excrement.","Stable. Always meant 'bullshit/crap.' Fell out of use rather than changing meaning.","Original BSG (1978). Barely survived into the 2004 reboot, where 'frak' dominated.","Considered too clunky by the reboot's writers. Now remembered as a nostalgic oddity from 1970s sci-fi TV.","Universal across the Twelve Colonies in the original series.","Will you cut the felgercarb and give me a hand?"
"Fork","Fuck","FORK","Noun/Verb/Adjective/Interjection","The Good Place","TV","Frak (BSG); Frell (Farscape); Smeg (Red Dwarf)","Fudge; Frick; Freak; Frig","Profanity; Obscenity","Moderate","Eleanor Shellstrop (Kristen Bell)","S1E1 'Everything is Fine' (2016)","In the Good Place, a cosmic censorship filter automatically replaces all profanity. Eleanor's attempts to curse come out as 'fork,' 'shirt,' 'bench,' and 'ash-hole.'","Not invented language — an in-universe automatic speech filter in the Good Place neighborhood rewrites profanity in real time, replacing it with near-homophones.","Stable — the substitution system is consistent throughout all four seasons. The humor comes from Eleanor's frustration, not from the word evolving.","The Good Place (2016-2020), all four seasons. Critics compared the system to iPhone autocorrect.","Fans adopted 'fork,' 'shirt,' and 'bullshirt' as genuine real-world euphemisms, giving the show's comedy device actual social currency.","Only operative within the Good Place neighborhood. Once characters leave, normal language resumes — a plot point used for dramatic reveals.","Holy forking shirtballs!"
"Shirt","Shit","SHURT","Noun/Interjection","The Good Place","TV","Dren (Farscape); Crem (Stormlight Archive); Felgercarb (BSG)","Shoot; Sugar; Shucks; Shiitake","Scatological; Profanity","Moderate","Eleanor Shellstrop (Kristen Bell)","S1E1 'Everything is Fine' (2016)","The Good Place's automatic profanity filter replaces 'shit' with 'shirt.' Also appears as 'bullshirt.'","Part of the Good Place's cosmic speech filter. Near-homophone of 'shit' selected automatically by the neighborhood's design.","Stable — no meaning shift.","The Good Place (2016-2020), all four seasons. Also appears as 'bullshirt.'","'Holy forking shirtballs' became the show's most quotable line and entered casual use among fans.","Only within the Good Place neighborhood.","Oh, this is bullshirt."
"Bench","Bitch","BENCH","Noun","The Good Place","TV","Bitca (Buffy); Slitch (various sci-fi)","Witch; Rhymes-with; B-word","Insult; Profanity","Moderate","Eleanor Shellstrop (Kristen Bell)","S1E1 'Everything is Fine' (2016)","The Good Place filter's replacement for 'bitch.' Used as both noun and adjective ('son of a bench').","The Good Place speech filter's replacement for 'bitch.' Near-homophone selected by the neighborhood's cosmic censorship system.","Stable — no meaning shift.","The Good Place (2016-2020), all four seasons.","'Son of a bench' became a frequently quoted line. Like 'fork' and 'shirt,' it gained mild real-world use among fans.","Only within the Good Place neighborhood.","You know what, you're being a real bench right now."
"Smeg","Fuck / Shit (general purpose)","SMEG","Noun/Verb/Adjective/Interjection","Red Dwarf","TV","Frak (BSG); Frell (Farscape); Kriff (Star Wars)","Effing; Freaking; Bloody","Obscenity; Profanity","Extreme","Lister (Craig Charles)","S1E1 'The End' (1988)","The most versatile curse word in the Red Dwarf universe. Can be used as a noun (smeg), adjective (smegging), or combined with other words (smeghead).","Created by Rob Grant and Doug Naylor, who insist they did not derive it from 'smegma.' They claim they simply wanted a four-letter word that sounded right. The resemblance is widely noted regardless.","Stable in meaning but expanded in form. 'Smeghead' emerged as the show's signature insult. Other compounds ('smegging,' 'smeg-for-brains') accumulated over 12 series.","Red Dwarf Series I-XIII (1988-present). Entered British slang dictionaries.","Its resemblance to 'smegma' gave it authentic vulgarity that purely invented words often lack. Became recognized British English slang beyond the show's fanbase.","Used primarily by Lister and Rimmer aboard Red Dwarf. No regional variation — it's a future-English word.","Oh, smeg. What the smegging smeg's he smegging done?"
"Frell","Fuck / Damn / Hell","FREL","Verb/Interjection","Farscape","TV","Frak (BSG); Smeg (Red Dwarf); Fork (Good Place); Kriff (Star Wars)","Frick; Freaking; Damn; Heck","Obscenity; Profanity","Extreme","John Crichton (Ben Browder)","S1E1 'Premiere' (1999)","The primary all-purpose expletive in Farscape. Can be used in every context from 'frell off' to 'frelling idiot.' Created by the Sebacean species.","In-universe, a Sebacean word. Out-of-universe, created by Farscape's writers to allow free cursing on the Sci-Fi Channel.","Stable — always a direct F-word/damn/hell substitute. Human character Crichton adopting it showed his cultural assimilation into the Uncharted Territories.","Farscape (1999-2003). The Peacekeeper Wars miniseries (2004). Referenced in Stargate SG-1's Farscape parody episode (S10E6, '200').","Many fans consider it a better fictional swear than 'frak' due to its sharper sound. Never achieved the same mainstream crossover, partly because Farscape had a smaller audience.","Sebacean in origin, but used across multiple species in the Uncharted Territories. Crichton as a human adopts it naturally.","What the frell is going on?"
"Dren","Shit / Crap","DREN","Noun","Farscape","TV","Felgercarb (BSG); Crem (Stormlight Archive); Druk (Star Wars)","Crap; Dung; Muck; Rubbish","Scatological; Profanity","Moderate","D'Argo (Anthony Simcoe)","S1E6 'Thank God It's Friday... Again' (1999)","Farscape's equivalent of excrement, used both literally and as a general-purpose expression of disgust or frustration.","An alien word from the Uncharted Territories. No specific species origin given. Adopted by all crew members aboard Moya.","Consistent usage throughout the series. Sometimes combined as 'pile of dren' or used in the memorable phrase 'Same dren, different planet.'","Used throughout Farscape's four-season run (1999-2003) and the Peacekeeper Wars miniseries (2004).","Functions as broadcast-safe scatological profanity. Less iconic than 'frell' but important to Farscape's complete profanity system.","Used across multiple species in the Uncharted Territories.","Same dren, different planet."
"Hezmana","Hell","hez-MAH-nah","Noun","Farscape","TV","Byss (Star Wars); Mustafar-related oaths (Star Wars)","Hell; Heck; Damnation; Perdition","Blasphemy; Profanity","Moderate","Various characters","Season 1 (1999)","Farscape's equivalent of Hell, used in exclamations like 'What the hezmana?' and 'Go to hezmana.'","An alien place-name or concept from the Uncharted Territories, analogous to a hellish afterlife or place of punishment.","Consistent usage throughout the series.","Used across all four seasons of Farscape. Part of the show's rich alien vocabulary system.","Serves the same cultural function as invoking Hell — expressing shock, anger, or condemning someone to a terrible place.","Used across multiple species in the Uncharted Territories.","What the hezmana is wrong with you?"
